genre,below 5.0,5.0-6.5,6.5-7.5,7.5-8.5,above 8.5
Thriller,0.187,0.391,0.267,0.125,0.03
Horror,0.301,0.423,0.201,0.065,0.01
Sci-Fi,0.142,0.328,0.291,0.189,0.05
Fantasy,0.195,0.405,0.278,0.102,0.02
Mystery,0.121,0.342,0.327,0.178,0.032
Adventure,0.174,0.385,0.296,0.115,0.03
Biography,0.054,0.187,0.372,0.289,0.098
Documentary,0.067,0.169,0.347,0.314,0.102
Drama,0.157,0.373,0.325,0.115,0.031
Comedy,0.233,0.414,0.24,0.082,0.031
Romance,0.172,0.449,0.259,0.096,0.023
Animation,0.216,0.33,0.227,0.205,0.023
Action,0.4,0.37,0.162,0.056,0.012
